
to	P	0.9511

Christian	^	0.9779

25-22	$	0.9229

.	,	0.9927

So	P	0.5666

much	A	0.5576

fun	N	0.6011

.	,	0.9927


"	,	0.9803

I'm	L	0.9907

so	R	0.5317

sorry	!	0.5410

you	O	0.9627

have	V	0.9703

to	P	0.9511

read	V	0.8720

15	$	0.9668

pages	N	0.9257

about	P	0.8950

black	A	0.8061

people's	N	0.3330

lives	V	0.5430

before	P	0.7798

you	O	0.9627

get	V	0.9655

to	P	0.9511

a	D	0.8948

recipe	N	0.9701

"	,	0.9803

from	P	0.9750

is	V	0.9892

🔥	!	0.3943


This	D	0.6836

is	V	0.9892

how	R	0.9435

I	O	0.9937

see	V	0.8335

yellow	A	0.7577

lights	N	0.8377

when	R	0.9425

I'm	L	0.9907

debating	V	0.9556

if	P	0.9711

I	O	0.9937

should	V	0.9804

stop	V	0.7591

or	&	0.9822

floor	N	0.9633

it	O	0.9694


But	&	0.9845

seriously	R	0.9806

,	,	0.9918

that	O	0.7135

was	V	0.9773

a	D	0.8948

pretty	R	0.7847

impressive	A	0.9806

PSU	^	0.6200

win	V	0.8692

over	P	0.6023

Georgia	^	0.9962

State	N	0.7915

.	,	0.9927


Isn't	V	0.9001

playing	V	0.9921

vs	V	0.3841

quest	N	0.9662

mage	^	0.7015

just	R	0.9975

the	D	0.9792

most	R	0.7557

fun	N	0.6011

.	,	0.9927

:)	E	0.9959

;P	E	0.9802


Most	A	0.7301

Quotes	N	0.9187

:	,	0.7421

28	$	0.9527

of	P	0.8953

the	D	0.9792

Funniest	A	0.9932

Quotes	N	0.9187

Ever	R	0.9666

...	~	0.6291

-	,	0.8444

OMG	!	0.9972

...	~	0.6291

-	,	0.8444

…	,	0.6715

d	!	0.3287


wins	V	0.5929

the	D	0.9792

“	,	0.9466

decorated	V	0.8819

and	&	0.9981

lit	V	0.7777

Christmas	^	0.9644

trees	N	0.9794

in	P	0.8576

front	N	0.7266

of	P	0.8953

the	D	0.9792

store	N	0.9359

”	,	0.9566

contest	N	0.9778

BEFORE	P	0.7957

Halloween	^	0.9722

.	,	0.9927


Reposting	V	0.4937

:	,	0.7421

I	O	0.9937

did	V	0.9560

this	O	0.5028

the	D	0.9792

whole	A	0.8267

day	N	0.9236

today	N	0.9895

...	~	0.6291

my	D	0.8420

favorite	A	0.8214

thing	N	0.9739

to	P	0.9511

do	V	0.9687

!!	,	0.9305

…	,	0.6715


Before	P	0.8103

anyone	N	0.9128

gets	V	0.9882

excited	V	0.5319

over	P	0.6023

possibly	R	0.9861

wearing	V	0.9581

a	D	0.8948

wire	N	0.7290

,	,	0.9918

lets	L	0.9500

just	R	0.9975

remember	V	0.9516

how	R	0.9435

good	A	0.9644

is	V	0.9892

at	P	0.9712

restraint	N	0.9585


:	,	0.7421

,	,	0.9918

red-faced	A	0.7474

moments	N	0.9494

,,	,	0.8498

,	,	0.9918

and	&	0.9981

!…	,	0.8583


This	D	0.6836

picture	N	0.9454

makes	V	0.9553

me	O	0.9918

so	R	0.5317

depressed	A	0.8772

C	N	0.3245


Best	A	0.9759

Quotes	N	0.9187

:	,	0.7421

20	$	0.9690

Hilarious	A	0.9386

Sayings	N	0.9664

...	~	0.6291

-	,	0.8444

…	,	0.6715


"	,	0.9803

if	P	0.9711

we	O	0.9885

date	N	0.9426

you're	L	0.9569

gonna	V	0.9473

be	V	0.9569

all	D	0.7257

over	P	0.6023

my	D	0.8420

snapchat	!	0.4061

story	N	0.9885

"	,	0.9803


when	R	0.9425

you're	L	0.9569

bonding	V	0.6795

with	P	0.9671

your	D	0.5467

pet	N	0.8656

and	&	0.9981

they	O	0.9737

hate	V	0.9340

you	O	0.9627


thanks	N	0.7675

for	P	0.9910

the	D	0.9792

152.00	$	0.9904

a	D	0.8948

month	N	0.9362

raise	V	0.9328

in	P	0.8576

our	D	0.8438

Heath	^	0.9802

plan	N	0.7284

.	,	0.9927

Much	A	0.6777

appreciated	V	0.3737

.	,	0.9927


RT	~	0.7475

:	,	0.7421

But	&	0.9845

Tony	^	0.9832

Gwynn	^	0.9205

swing	V	0.6113

down	T	0.3734

.....	,	0.9659


Sick	A	0.7292

with	P	0.9671

the	D	0.9792

flu	N	0.7732

the	D	0.9792

two	$	0.9238

was	V	0.9773

ago	R	0.8192

from	P	0.9750

my	D	0.8420

oldest	A	0.9405

...	~	0.6291

now	R	0.9613

I’m	L	0.9906

sick	A	0.9401

with	P	0.9671

a	D	0.8948

cold	A	0.9677

from	P	0.9750

my	D	0.8420

baby	N	0.9007

...	~	0.6291

😩	!	0.2639

being	V	0.9770

a	D	0.8948

parent	N	0.9590

is	V	0.9892

so	R	0.5317

fun	N	0.6011


RT	~	0.7475

:	,	0.7421

Best	A	0.9759

Quotes	N	0.9187

:	,	0.7421

20	$	0.9690

Hilarious	A	0.9386

Sayings	N	0.9664

...	~	0.6291

-	,	0.8444


RT	~	0.7475

:	,	0.7421

Best	A	0.9759

Quotes	N	0.9187

:	,	0.7421

21	$	0.9665

Snarky	A	0.2884

and	&	0.9981

Quotes	N	0.9187

...	~	0.6291

-	,	0.8444


RT	~	0.7475

:	,	0.7421

JAYWALKER	^	0.5323

uU	O	0.8297

http	!	0.4616

…	,	0.6715


RT	~	0.7475

:	,	0.7421

Best	A	0.9759

Quotes	N	0.9187

:	,	0.7421

21	$	0.9665

Snarky	A	0.2884

and	&	0.9981

Quotes	N	0.9187

...	~	0.6291

-	,	0.8444


RT	~	0.7475

:	,	0.7421

Best	A	0.9759

Quotes	N	0.9187

:	,	0.7421

20	$	0.9690

Hilarious	A	0.9386

Sayings	N	0.9664

...	~	0.6291

-	,	0.8444


when	R	0.9425

ur	L	0.5261

joke	N	0.8867

is	V	0.9892

bomb	N	0.7070

and	&	0.9981

u	O	0.9843

gotta	V	0.9603

wait	V	0.9113

for	P	0.9910

the	D	0.9792

squad	N	0.9643

to	P	0.9511

settle	V	0.7838

down	T	0.3734


RT	~	0.7475

:	,	0.7421

Best	A	0.9759

Quotes	N	0.9187

:	,	0.7421

20	$	0.9690

Hilarious	A	0.9386

Sayings	N	0.9664

...	~	0.6291

-	,	0.8444


2	$	0.5875

matches	V	0.8286

happening	V	0.9541

tonight	R	0.4673

already	R	0.9742

on	P	0.8343

raw	A	0.8846

seth	^	0.9250

rollins	^	0.9773

vs	V	0.3841

kane	^	0.9777

&	&	0.9901

cesaro	!	0.5674

vs	V	0.3841

finn	^	0.7807

balor	^	0.3790

LMAO	!	0.9991

good	A	0.9644

job	N	0.9172

vince	^	0.9463


RT	~	0.7475

:	,	0.7421

Best	A	0.9759

Quotes	N	0.9187

:	,	0.7421

21	$	0.9665

Snarky	A	0.2884

and	&	0.9981

Quotes	N	0.9187

...	~	0.6291

-	,	0.8444


I	O	0.9937

wonder	V	0.6042

why	R	0.8527

non-autistic	N	0.2980

people	N	0.9913

seem	V	0.5149

to	P	0.9511

love	N	0.6603

the	D	0.9792

medias	N	0.4035

portrayal	N	0.9374

of	P	0.8953

autism	N	0.8644

&	&	0.9901

especially	R	0.9890

the	D	0.9792

ones	N	0.6955

people	N	0.9913

hate	V	0.9340


RT	~	0.7475

:	,	0.7421

Best	A	0.9759

Quotes	N	0.9187

:	,	0.7421

21	$	0.9665

Snarky	A	0.2884

and	&	0.9981

Quotes	N	0.9187

...	~	0.6291

-	,	0.8444


Yeah	!	0.9987

,	,	0.9918

I'm	L	0.9907

totally	R	0.9814

sold	V	0.9194

.	,	0.9927


Sarcasm	N	0.9562

makes	V	0.9553

houses	N	0.9369

homes	N	0.9846

-	,	0.8444

Win	V	0.9210

a	D	0.8948

Towel	N	0.9662

and	&	0.9981

Napkin	N	0.9686

Duo	N	0.9090

from	P	0.9750


It’s	L	0.9898

cool	A	0.6273

living	V	0.9580

in	P	0.8576

a	D	0.8948

world	N	0.7022

where	R	0.9493

different	A	0.9110

opinions	N	0.9265

and	&	0.9981

perspectives	N	0.9623

are	V	0.9783

accepted	V	0.9422

nd	&	0.7158

we	O	0.9885

can	V	0.9763

have	V	0.9703

conversations	N	0.9846

and	&	0.9981

learn	V	0.9599

from	P	0.9750

them	O	0.9105


Michah	!	0.3447

Johnson	^	0.9454

is	V	0.9892

now	R	0.9613

a	D	0.8948

part	N	0.9608

of	P	0.8953

the	D	0.9792

.	,	0.9927

Power	N	0.8346

move	N	0.5253

by	P	0.9649

Evans	^	0.9766

,	,	0.9918

he	O	0.9777

can	V	0.9763

drop	N	0.5664

the	D	0.9792

mic	N	0.5462

for	P	0.9910

this	O	0.5028

offseason	N	0.5512

after	P	0.8092

that	O	0.7135

acquisition	N	0.9791


I	O	0.9937

walked	V	0.9700

9	$	0.9832

miles	N	0.8258

in	P	0.8576

2	$	0.5875

and	&	0.9981

a	D	0.8948

half	!	0.6146

hours	N	0.9217

,	,	0.9918

leaving	V	0.9745

a	D	0.8948

blister	N	0.9660

on	P	0.8343

my	D	0.8420

foot	N	0.9405

,	,	0.9918

glad	A	0.8941

I	O	0.9937

worked	V	0.9521

out	T	0.6015

all	D	0.7257

my	D	0.8420

issues	N	0.8644


RT	~	0.7475

:	,	0.7421

So	P	0.5666

long	A	0.8325

as	P	0.7377

only	R	0.7668

leave	V	0.8730

voters	N	0.9633

(	,	0.9082

and	&	0.9981

bots	N	0.8332

)	,	0.9412

do	V	0.9687

the	D	0.9792

poll	N	0.8979

then	R	0.9661

it's	L	0.9926

okay	!	0.9857


It	O	0.9748

is	V	0.9892

a	D	0.8948

HOLLY	^	0.9191

WOOD	^	0.5767

-	,	0.8444

it	O	0.9694

is	V	0.9892

HOLLY	^	0.9191

and	&	0.9981

everyone	N	0.9747

has	V	0.9464

a	D	0.8948

WOOD	^	0.5767


Most	A	0.7301

Quotes	N	0.9187

:	,	0.7421

28	$	0.9527

of	P	0.8953

the	D	0.9792

Funniest	A	0.9932

Quotes	N	0.9187

Ever	R	0.9666

...	~	0.6291

-	,	0.8444

OMG	!	0.9972

...	~	0.6291

-	,	0.8444

…	,	0.6715

2	$	0.5875


RT	~	0.7475

:	,	0.7421

JAYWALKER	^	0.5323

uU	O	0.8297

http	!	0.4616

…	,	0.6715


Well	!	0.9755

that'll	L	0.8684

definitely	R	0.9961

endear	V	0.4663

him	O	0.8980

the	D	0.9792

US	O	0.6137

fans	N	0.9656

...	~	0.6291


am	V	0.8073

i	O	0.9651

the	D	0.9792

only	R	0.7668

girl	N	0.8631

who	O	0.9764

melts	V	0.4597

when	R	0.9425

a	D	0.8948

boy	N	0.8695

says	V	0.9773

"	,	0.9803

come	V	0.9593

here	R	0.7796

"	,	0.9803

like	P	0.7012

it's	L	0.9926

so	R	0.5317

simple	A	0.8727

and	&	0.9981

innocent	A	0.9768

yet	R	0.7661

so	R	0.5317

demanding	V	0.9859

and	&	0.9981

…	,	0.6715


"	,	0.9803

READ	V	0.8706

IT	O	0.9675

AND	&	0.9972

LET	V	0.9086

IT	O	0.9675

SINK	V	0.5102

IN	P	0.8539

u	O	0.9843

"	,	0.9803


"	,	0.9803

You	O	0.9865

are	V	0.9783

an	D	0.7642

adult	N	0.7503

,	,	0.9918

you	O	0.9627

can	V	0.9763

schedule	N	0.8681

your	D	0.5467

own	A	0.3702

appointments	N	0.9603

now	R	0.9613

"	,	0.9803


RT	~	0.7475

:	,	0.7421

Exactly	R	0.7672

what	O	0.9490

we	O	0.9885

need	V	0.8664

.	,	0.9927

Criminals	N	0.9416

freed	V	0.8053

from	P	0.9750

prison	N	0.9596

to	P	0.9511

sell	V	0.6070

more	A	0.4885

drugs	N	0.9566

during	P	0.7576

an	D	0.7642

…	,	0.6715


Oh	!	0.9978

yes😃	!	0.5628


Surely	R	0.9913

all	D	0.7257

the	D	0.9792

oil	N	0.8754

giants	^	0.6427

stockpiled	V	0.4778

fuel	N	0.8648

when	R	0.9425

prices	N	0.9219

were	V	0.9019

low	A	0.8747

so	R	0.5317

don’t	V	0.9973

need	V	0.8664

to	P	0.9511

put	V	0.7836

up	T	0.8440

pump	N	0.6475

costs	N	0.5832

for	P	0.9910

some	D	0.7045

time	N	0.9685

!	,	0.9924


RT	~	0.7475

:	,	0.7421

Exactly	R	0.7672

what	O	0.9490

we	O	0.9885

need	V	0.8664

.	,	0.9927

Criminals	N	0.9416

freed	V	0.8053

from	P	0.9750

prison	N	0.9596

to	P	0.9511

sell	V	0.6070

more	A	0.4885

drugs	N	0.9566

during	P	0.7576

an	D	0.7642

…	,	0.6715


"	,	0.9803

My	D	0.9244

laugh	V	0.7009

may	V	0.6055

be	V	0.9569

loud	A	0.9066

and	&	0.9981

obnoxious	A	0.9895

BUT	&	0.9875

AT	P	0.6038

LEAST	A	0.6942

IM	L	0.9779

HAVING	V	0.9733

A	D	0.7889

GOOD	A	0.9441

TIME	N	0.9565

"	,	0.9803


I	O	0.9937

hate	V	0.9340

when	R	0.9425

you	O	0.9627

push	N	0.4798

back	R	0.5723

.	,	0.9927

So	P	0.5666

,	,	0.9918

push	N	0.4798

back	R	0.5723

harder	A	0.8231

.	,	0.9927

.	,	0.9927


RT	~	0.7475

:	,	0.7421

That's	L	0.9912

refreshing	A	0.9463

.	,	0.9927

Monday	^	0.8819

.	,	0.9927


That's	L	0.9912

refreshing	A	0.9463

.	,	0.9927

Monday	^	0.8819

.	,	0.9927


As	P	0.7624

you	O	0.9627

can	V	0.9763

tell	V	0.7941

by	P	0.9649

his	D	0.9130

thread	N	0.9335

compared	V	0.9395

to	P	0.9511

Donald's	Z	0.4712

.	,	0.9927


Bye	!	0.9900

👋	E	0.7989

this	O	0.5028

is	V	0.9892

how	R	0.9435

you	O	0.9627

do	V	0.9687

it	O	0.9694

right	!	0.8610

?	,	0.9909


When	R	0.9713

someone	N	0.9495

says	V	0.9773

"	,	0.9803

everything	N	0.9592

happened	V	0.9840

for	P	0.9910

a	D	0.8948

reson	N	0.6631

"	,	0.9803

,	,	0.9918

the	D	0.9792

fun	N	0.6011

thing	N	0.9739

to	P	0.9511

do	V	0.9687

is	V	0.9892

punch	N	0.8513

them	O	0.9105

to	P	0.9511

the	D	0.9792

face	N	0.9357

&	&	0.9901

say	V	0.8550

"	,	0.9803

this	O	0.5028

was	V	0.9773

meant	V	0.8251

to	P	0.9511

be	V	0.9569

"	,	0.9803

.	,	0.9927


rt	~	0.4510

if	P	0.9711

these	D	0.6152

pancakes	N	0.9867

look	V	0.8183

better	A	0.6680

than	P	0.9031

u	O	0.9843


Best	A	0.9759

Quotes	N	0.9187

:	,	0.7421

21	$	0.9665

Snarky	A	0.2884

and	&	0.9981

Quotes	N	0.9187

...	~	0.6291

-	,	0.8444

…	,	0.6715


I'll	L	0.9764

buy	V	0.8020

it	O	0.9694

all	D	0.7257

but	&	0.9901

still	R	0.9849

won't	V	0.8295

look	V	0.8183

like	P	0.7012

her	O	0.5274

.	,	0.9927


Yes	!	0.9939

,	,	0.9918

because	P	0.9780

we	O	0.9885

are	V	0.9783

going	V	0.9829

to	P	0.9511

keep	V	0.7901

a	D	0.8948

3	$	0.9007

YO	!	0.8443

out	T	0.6015

all	D	0.7257

damn	!	0.9889

night	N	0.6493

.	,	0.9927


Migrating	V	0.9422

a	D	0.8948

client	N	0.9713

to	P	0.9511

(	,	0.9082

their	D	0.7901

choice	N	0.9453

)	,	0.9412

...	~	0.6291

what	O	0.9490

a	D	0.8948

wonderful	A	0.9407

way	N	0.5969

()	E	0.3119

to	P	0.9511

waste	N	0.8660

most	R	0.7557

of	P	0.8953

a	D	0.8948

day	N	0.9236

.	,	0.9927


So	P	0.5666

effective	A	0.9434

,	,	0.9918

my	D	0.8420

head	N	0.9348

is	V	0.9892

spinning	V	0.9576

.	,	0.9927

Judge	N	0.6526

Blocks	N	0.8191

Trump’s	^	0.4382

Ban	N	0.5808

on	P	0.8343

Transgender	^	0.3947

Troops	N	0.9829

in	P	0.8576

Military	A	0.4901


RT	~	0.7475

:	,	0.7421

The	D	0.9468

Sarcastic	A	0.9857

Zone	N	0.7747

-	,	0.8444

…	,	0.6715


remember	V	0.9516

how	R	0.9435

Chris	^	0.9988

Hones	^	0.4024

cut	N	0.8005

all	D	0.7257

the	D	0.9792

players	N	0.9694

we	O	0.9885

could	V	0.9712

cheer	N	0.4871

for	P	0.9910

What	O	0.9658

are	V	0.9783

we	O	0.9885

to	P	0.9511

do	V	0.9687

in	P	0.8576

the	D	0.9792

play	V	0.8616

offs	!	0.5046

now	R	0.9613

Who	O	0.9804

do	V	0.9687

we	O	0.9885

cheer	N	0.4871

.	,	0.9927


British	A	0.8273

exports	N	0.9290

are	V	0.9783

saved	V	0.9114

.	,	0.9927

Waitrose	^	0.6422

are	V	0.9783

selling	V	0.9715

Cheddar	N	0.6686

cheese	N	0.9662

to	P	0.9511

a	D	0.8948

French	^	0.6524

supermarket	N	0.9591

chain	N	0.9066

.	,	0.9927

Who	O	0.9804

needs	V	0.9259

a	D	0.8948

trade	N	0.8763

deal	N	0.9153

now	R	0.9613

?!	,	0.9682


But	&	0.9845

I'd	L	0.9803

hate	V	0.9340

to	P	0.9511

be	V	0.9569

in	P	0.8576

someone's	L	0.6960

way	N	0.5969

!	,	0.9924


George	^	0.9954

popodopolus	^	0.2244

??	,	0.9829

websters	^	0.8090

dad	N	0.8582

?	,	0.9909


30	$	0.9470

Snappy	A	0.9727

Funny	A	0.9935

Quotes	N	0.9187


Most	A	0.7301

Quotes	N	0.9187

:	,	0.7421

28	$	0.9527

of	P	0.8953

the	D	0.9792

Funniest	A	0.9932

Quotes	N	0.9187

Ever	R	0.9666

...	~	0.6291

-	,	0.8444

OMG	!	0.9972

...	~	0.6291

-	,	0.8444

…	,	0.6715


30	$	0.9470

Snappy	A	0.9727

Funny	A	0.9935

Quotes	N	0.9187


30	$	0.9470

Snappy	A	0.9727

Funny	A	0.9935

Quotes	N	0.9187


Sometimes	R	0.9513

I	O	0.9937

wanna	V	0.9079

be	V	0.9569

that	O	0.7135

girl	N	0.8631

that	O	0.7135

dresses	N	0.8928

really	R	0.9938

cute	A	0.9673

all	D	0.7257

the	D	0.9792

time	N	0.9685

but	&	0.9901

then	R	0.9661

I	O	0.9937

remember	V	0.9516

what	O	0.9490

it	O	0.9694

feels	V	0.9345

like	P	0.7012

to	P	0.9511

…	,	0.6715


I’m	L	0.9906

surprised	A	0.5162

let	V	0.8916

you	O	0.9627

in	P	0.8576

their	D	0.7901

store	N	0.9359

looking	V	0.9528

like	P	0.7012

that	O	0.7135

!	,	0.9924


RT	~	0.7475

:	,	0.7421

JAYWALKER	^	0.5323

uU	O	0.8297

http	!	0.4616

…	,	0.6715


People	N	0.9953

:	,	0.7421

You	O	0.9865

can	V	0.9763

talk	V	0.7768

to	P	0.9511

me	O	0.9918

.	,	0.9927

I'll	L	0.9764

listen	V	0.9782

.	,	0.9927

Me	O	0.9899

:	,	0.7421

*	,	0.9379

explains	V	0.9872

how	R	0.9435

I	O	0.9937

feel	V	0.9161

*	,	0.9379

People	N	0.9953

:	,	0.7421

You	O	0.9865

shou	!	0.4068

…	,	0.6715

U	O	0.9513


RT	~	0.7475

:	,	0.7421

The	D	0.9468

Sarcastic	A	0.9857

Zone	N	0.7747

-	,	0.8444

…	,	0.6715


Not	R	0.9761

the	D	0.9792

greatest	A	0.9639

stat	N	0.9596

...	~	0.6291

good	A	0.9644

to	P	0.9511

know	V	0.9285

POTUS	^	0.8589

is	V	0.9892

sensitive	A	0.9885

to	P	0.9511

scientific	A	0.7711

accuracy	N	0.9541

..	,	0.9687


So	P	0.5666

,	,	0.9918

new	A	0.9552

video	N	0.9802

is	V	0.9892

basically	R	0.9897

the	D	0.9792

plot	N	0.8768

of	P	0.8953

That's	L	0.9912

soooo	R	0.7325

original	A	0.8885


RT	~	0.7475

:	,	0.7421

The	D	0.9468

Sarcastic	A	0.9857

Zone	N	0.7747

-	,	0.8444

…	,	0.6715


Models	N	0.9799

should	V	0.9804

run	V	0.9514

the	D	0.9792

world	N	0.7022

.	,	0.9927

Stupid	A	0.9916

lawyers	N	0.9619

ruin	V	0.9174

everything	N	0.9592

with	P	0.9671

their	D	0.7901

dumbiness	N	0.3783

.	,	0.9927


"	,	0.9803

for	P	0.9910

real	A	0.7729

tho	R	0.4095

✊🏼	!	0.2639

"	,	0.9803


He	O	0.9792

loves	V	0.9579

young	A	0.8473

players	N	0.9694

and	&	0.9981

he's	L	0.9754

totally	R	0.9814

into	P	0.9699

recruiting	V	0.9689

!	,	0.9924


RT	~	0.7475

:	,	0.7421

The	D	0.9468

Sarcastic	A	0.9857

Zone	N	0.7747

-	,	0.8444

…	,	0.6715


RT	~	0.7475

:	,	0.7421

Shareen	^	0.6931

inspiring	A	0.7934

Pakistanis	^	0.5808

to	P	0.9511

get	V	0.9655

their	D	0.7901

due	A	0.4984

rights	N	0.9591

and	&	0.9981

report	N	0.8498

all	D	0.7257

kinds	N	0.7566

of	P	0.8953

harassment	N	0.9441

cases	N	0.9544


Why	R	0.8930

would	V	0.9736

you	O	0.9627

be	V	0.9569

happy	A	0.9389

about	P	0.8950

that	O	0.7135

??	,	0.9829

😂😂😂	!	0.9823


I	O	0.9937

got	V	0.7838

Emily😍	!	0.2702


Uncle	N	0.7055

Jesse	^	0.9975

and	&	0.9981

Michelle's	Z	0.4031

friendship	N	0.8842

was	V	0.9773

the	D	0.9792

best	A	0.9236


I'm	L	0.9907

sure	A	0.8345

a	D	0.8948

man	!	0.8651

like	P	0.7012

Mueller	^	0.9488

made	V	0.9295

sure	A	0.8345

to	P	0.9511

have	V	0.9703

NOTHING	N	0.9669

before	P	0.7798

submitting	V	0.9674

his	D	0.9130

indictment	N	0.9681

.	,	0.9927

Looks	V	0.9701

like	P	0.7012

a	D	0.8948

sloppy	A	0.9831

dude	N	0.7345

.	,	0.9927


If	P	0.9686

this	O	0.5028

is	V	0.9892

true	A	0.9009

how	R	0.9435

did	V	0.9560

he	O	0.9777

meet	V	0.9137

the	D	0.9792

president	N	0.8780

of	P	0.8953

the	D	0.9792

Virgin	N	0.5753

